District / Commissionerate Name,Police Station Name,Type
Solapur District (Rural),Akluj,Rural
Aurangabad District (Rural),Paithan,Rural
Aurangabad District (Rural),Gangapur,Rural
Aurangabad District (Rural),Sillod,Rural
Aurangabad District (Rural),Soegaon,Rural
Aurangabad District (Rural),Kannad,Rural
Aurangabad District (Rural),Vaijapur,Rural
Aurangabad District (Rural),Khultabad,Rural
Aurangabad District (Rural),Phulambri,Rural
Aurangabad District (Rural),Wadgaon Kolhati,Rural
Aurangabad District (Rural),Lasur Station,Rural
Aurangabad District (Rural),Pimpalgaon Gangdev,Rural
Aurangabad District (Rural),Gevrai,Rural
Jalna District,Jalna,Rural
Jalna District,Ambad,Rural
Jalna District,Badnapur,Rural
Jalna District,Bhokardan,Rural
Jalna District,Ghansawangi,Rural
Jalna District,Jafrabad,Rural
Jalna District,Mantha,Rural
Jalna District,Partur,Rural
Jalna District,Rajur,Rural
Jalna District,Dharur (Jalna),Rural
Beed District,Beed,Rural
Beed District,Ambajogai,Rural
Beed District,Parli Vaijnath,Rural
Beed District,Georai,Rural
Beed District,Kaij,Rural
Beed District,Dharur,Rural
Beed District,Shirur Kasar,Rural
Beed District,Majalgaon,Rural
Beed District,Patoda,Rural
Beed District,Wadwani,Rural
Beed District,Ashti (Beed),Rural
Beed District,Shiradhon,Rural
Osmanabad District (Dharashiv),Osmanabad,Rural
Osmanabad District (Dharashiv),Tuljapur,Rural
Osmanabad District (Dharashiv),Omerga,Rural
Osmanabad District (Dharashiv),Lohara,Rural
Osmanabad District (Dharashiv),Kalamb,Rural
Osmanabad District (Dharashiv),Paranda,Rural
Osmanabad District (Dharashiv),Bhum,Rural
Osmanabad District (Dharashiv),Washi,Rural
Osmanabad District (Dharashiv),Naldurg,Rural
Osmanabad District (Dharashiv),Yedshi,Rural
Latur District,Latur,Rural
Latur District,Udgir,Rural
Latur District,Ausa,Rural
Latur District,Nilanga,Rural
Latur District,Deoni,Rural
Latur District,Chakur,Rural
Latur District,Renapur,Rural
Latur District,Shirur Anantpal,Rural
Latur District,Ahmedpur,Rural
Latur District,Jalkot,Rural
Latur District,Murud (Latur),Rural
Nanded District,Nanded,Rural
Nanded District,Biloli,Rural
Nanded District,Bhokar,Rural
Nanded District,Mudkhed,Rural
Nanded District,Naigaon,Rural
Nanded District,Kinwat,Rural
Nanded District,Hadgaon,Rural
Nanded District,Ardhapur,Rural
Nanded District,Kandhar,Rural
Nanded District,Deglur,Rural
Nanded District,Loha,Rural
Nanded District,Umri,Rural
Nanded District,Dharmabad,Rural
Nanded District,Himayatnagar,Rural
Nanded District,Mahur,Rural
Nanded District,Mukhed,Rural
Nanded District,Selu (Nanded),Rural
Hingoli District,Hingoli,Rural
Hingoli District,Basmath,Rural
Hingoli District,Sengaon,Rural
Hingoli District,Aundha Nagnath,Rural
Hingoli District,Kalamnuri,Rural
Hingoli District,Wasmat,Rural
Hingoli District,Nagad,Rural
Parbhani District,Parbhani,Rural
Parbhani District,Gangakhed,Rural
Parbhani District,Selu,Rural
Parbhani District,Manwath,Rural
Parbhani District,Jintur,Rural
Parbhani District,Pathri,Rural
Parbhani District,Purna,Rural
Parbhani District,Sonpeth,Rural
Parbhani District,Palam,Rural
Parbhani District,Naigaon (Parbhani),Rural
Washim District,Washim,Rural
Washim District,Karanja,Rural
Washim District,Mangrulpir,Rural
Washim District,Risod,Rural
Washim District,Malegaon (Washim),Rural
Washim District,Manora,Rural
Washim District,Ansing,Rural
Washim District,Sailu (Washim),Rural
Akola District,Akola,Rural
Akola District,Akot,Rural
Akola District,Balapur,Rural
Akola District,Telhara,Rural
Akola District,Patur,Rural
Akola District,Murtizapur,Rural
Akola District,Barshitakli,Rural
Akola District,Hiwarkhed,Rural
Akola District,Borgaon Manju,Rural
Akola District,Umra (Akola),Rural
Buldhana District,Buldhana,Rural
Buldhana District,Khamgaon,Rural
Buldhana District,Malkapur,Rural
Buldhana District,Shegaon,Rural
Buldhana District,Chikhli,Rural
Buldhana District,Lonar,Rural
Buldhana District,Mehkar,Rural
Buldhana District,Motala,Rural
Buldhana District,Nandura,Rural
Buldhana District,Sindkhed Raja,Rural
Buldhana District,Deulgaon Raja,Rural
Buldhana District,Amdapur,Rural
Buldhana District,Andhera,Rural
Buldhana District,Bibi (Lonar),Rural
Buldhana District,Jambrud,Rural
Buldhana District,Palasgaon,Rural
Yavatmal District,Yavatmal,Rural
Yavatmal District,Wani,Rural
Yavatmal District,Pusad,Rural
Yavatmal District,Umarkhed,Rural
Yavatmal District,Darwha,Rural
Yavatmal District,Digras,Rural
Yavatmal District,Ralegaon,Rural
Yavatmal District,Ner,Rural
Yavatmal District,Mahagaon,Rural
Yavatmal District,Kalamb (Yavatmal),Rural
Yavatmal District,Arni,Rural
Yavatmal District,Ghatanji,Rural
Yavatmal District,Babulgaon,Rural
Yavatmal District,Kelapur,Rural
Yavatmal District,Maregaon,Rural
Yavatmal District,Zari Jamani,Rural
Yavatmal District,Pandharkawada,Rural
Amravati District (Rural),Achalpur,Rural
Amravati District (Rural),Daryapur,Rural
Amravati District (Rural),Anjangaon Surji,Rural
Amravati District (Rural),Morshi,Rural
Amravati District (Rural),Warud,Rural
Amravati District (Rural),Chandur Bazar,Rural
Amravati District (Rural),Dharni,Rural
Amravati District (Rural),Chikhaldara,Rural
Amravati District (Rural),Nandgaon Khandeshwar,Rural
Amravati District (Rural),Dhamangaon Railway,Rural
Amravati District (Rural),Chandur Railway,Rural
Amravati District (Rural),Amravati (Rural),Rural
Amravati District (Rural),Bhatkuli,Rural
Amravati District (Rural),Anjangaon (Rural),Rural
Wardha District,Wardha,Rural
Wardha District,Hinganghat,Rural
Wardha District,Arvi,Rural
Wardha District,Deoli,Rural
Wardha District,Samudrapur,Rural
Wardha District,Seloo,Rural
Wardha District,Ashti,Rural
Wardha District,Pulgaon,Rural
Wardha District,Sindi (Wardha),Rural
Wardha District,Talegaon (Wardha),Rural
Wardha District,Karanja (Ghadge),Rural
Nagpur District (Rural),Ramtek,Rural
Nagpur District (Rural),Katol,Rural
Nagpur District (Rural),Narkhed,Rural
Nagpur District (Rural),Savner,Rural
Nagpur District (Rural),Kamptee,Rural
Nagpur District (Rural),Bhiwapur,Rural
Nagpur District (Rural),Umred,Rural
Nagpur District (Rural),Kuhi,Rural
Nagpur District (Rural),Parseoni,Rural
Nagpur District (Rural),Mouda,Rural
Nagpur District (Rural),Deori (Nagpur),Rural
Nagpur District (Rural),Aroli,Rural
Nagpur District (Rural),Butibori,Rural
Nagpur District (Rural),MIDC Bori,Rural
Nagpur District (Rural),Bela,Rural
Nagpur District (Rural),Khapa,Rural
Nagpur District (Rural),Kalmeshwar,Rural
Nagpur District (Rural),Kanhan,Rural
Nagpur District (Rural),Kondali,Rural
Nagpur District (Rural),Jalalkheda,Rural
Nagpur District (Rural),Veltur,Rural
Nagpur District (Rural),Devlapar,Rural
Nagpur District (Rural),Wadoda,Rural
Nagpur District (Rural),Kelwad,Rural
Bhandara District,Bhandara,Rural
Bhandara District,Tumsar,Rural
Bhandara District,Sakoli,Rural
Bhandara District,Lakhani,Rural
Bhandara District,Mohadi,Rural
Bhandara District,Pauni,Rural
Bhandara District,Bhandara (City),Rural
Bhandara District,Ambagad Chowki,Rural
Bhandara District,Ukani,Rural
Bhandara District,Tirora,Rural
Gondia District,Gondia,Rural
Gondia District,Tirora,Rural
Gondia District,Amgaon,Rural
Gondia District,Goregaon (Gondia),Rural
Gondia District,Arjuni Morgaon,Rural
Gondia District,Deori,Rural
Gondia District,Salekasa,Rural
Gondia District,Sadak Arjuni,Rural
Gondia District,Navegaon Bandh,Rural
Gondia District,Kurkheda (Gondia),Rural
Chandrapur District,Ramnagar,Rural
Chandrapur District,Babupeth,Rural
Chandrapur District,City Chandrapur,Rural
Chandrapur District,Durgapur (Chandrapur),Rural
Chandrapur District,Ballarpur,Rural
Chandrapur District,Warora,Rural
Chandrapur District,Majri,Rural
Chandrapur District,Ghuggus,Rural
Chandrapur District,Bhadravati,Rural
Chandrapur District,Shegaon (Chandrapur),Rural
Chandrapur District,Rajura,Rural
Chandrapur District,Gondpipri,Rural
Chandrapur District,Kothari,Rural
Chandrapur District,Virur,Rural
Chandrapur District,Pombhurna,Rural
Chandrapur District,Gadchandur,Rural
Chandrapur District,Brahmapuri,Rural
Chandrapur District,Nagbhid,Rural
Chandrapur District,Chimur,Rural
Chandrapur District,Sindewahi,Rural
Chandrapur District,Mul,Rural
Chandrapur District,Jivati,Rural
Chandrapur District,Saoli,Rural
Chandrapur District,Korpana,Rural
Chandrapur District,Awalpur,Rural
Chandrapur District,Mandki,Rural
Chandrapur District,Navargaon,Rural
Chandrapur District,Benbal,Rural
Chandrapur District,Pothari,Rural
Gadchiroli District,Gadchiroli,Rural
Gadchiroli District,Aheri,Rural
Gadchiroli District,Sironcha,Rural
Gadchiroli District,Desaiganj (Vadsa),Rural
Gadchiroli District,Kurkheda,Rural
Gadchiroli District,Etapalli,Rural
Gadchiroli District,Bhamragad,Rural
Gadchiroli District,Chamorshi,Rural
Gadchiroli District,Dhanora,Rural
Gadchiroli District,Armori,Rural
Gadchiroli District,Mulchera,Rural
Gadchiroli District,Korchi,Rural
Gadchiroli District,Wadsa,Rural
Gadchiroli District,Allapalli,Rural
Gadchiroli District,Murumgaon,Rural
Gadchiroli District,Rajaram (Gadchiroli),Rural
